track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date;playlist_name;playlist_id;playlist_genre;playlist_subgenre;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;Escala;Clave
7elZqrBZysXba7cTLkrw05;Ask the Lonely;Journey;49;2EFUNYmwxe0AOGxBORrfaw;Frontiers;1983-02-01;Supernatural Classic Rock;6oghIlByD49KFGNmNU8GSH;rock;classic rock;0.504;0.935;-3.316;0.0382;0.248;0.0;0.284;0.75;128.393;233653;Mayor;C
17NCISfYJl0GITXs8G75Ae;Loudness War;Fukkk Offf;33;0vXDfJsurQa6rZayRwvgtQ;Loudness War;2019-07-12;Electro House 2020;317O0e8iWJLClLGDKtieRe;edm;electro house;0.843;0.844;-4.779;0.0749;0.000609;0.166;0.0458;0.727;127.98;285000;Mayor;D
53CNDHcrOI23OATSulqwJz;Deeper Love;Covenants;32;6ZhqPgy1NLqC8hRlGV0d1Z;Deeper Love;2020-01-10;Pop Dance Hits;7eERKCkgNKCCx5GYdeMIZf;pop;dance pop;0.666;0.8;-5.454;0.0659;0.00562;7.64e-05;0.381;0.868;121.955;146557;Menor;F#
1r299qCKBLgUS9XJ9m1kEx;Moves Like Jagger;Maroon 5;61;5NdkVAsSvgUfe3cD8LwSTD;Singles;2015-09-25;2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS;2DjIfVDXGYDgRxw7IJTKVb;edm;pop edm;0.72;0.751;-4.484;0.0462;0.0113;0.0;0.353;0.599;128.017;202640;Menor;B
4wwHmz9lmrJqkxwMENBVVL;get away;una schram;30;0Agv94MyzZcYHC3gxMy3Xj;get away;2019-10-18;New R&B‏‏​​   ‍;4I6rTSxqKl1LRvES2O9owQ;r&b;urban contemporary;0.728;0.386;-8.487;0.0719;0.494;0.000318;0.0865;0.347;154.957;201290;Menor;A#
3PfeAZbfD134dO6OiLDA2Y;Just A Dream - Main;Nelly;46;0ADbDHrlFpxuCW4NsnKNAO;Just A Dream;2010-01-01;Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro);3hR2R6szlkwZeGyclTgHcF;latin;latin hip hop;0.461;0.748;-6.122;0.033;0.0444;0.0;0.125;0.115;180.063;237987;Mayor;C#
3mGW6kG5UZLLDb1vVxRnl4;I'ma Ride (feat. Birdman & Young Thug);Yung Ralph;37;569v7BJrbDe9pGHDI1t6Z4;I Am Juugman;2015-12-09;The Sound of Southern Hip Hop;18jT9NMRZifv6cMtK2jWD4;rap;southern hip hop;0.848;0.395;-7.045;0.304;0.101;0.0;0.112;0.374;140.016;259798;Mayor;A
3FCQTUlUHhSKjo6CLF2DhF;Fall At Your Feet;Lucy Neville;44;7wzFXeLpF8yOgndqRWt7fC;Fall At Your Feet;2017-09-08;The Sound of Indie Poptimism;7nHgmv7uyIA1KHj6qTttjH;pop;indie poptimism;0.713;0.666;-7.636;0.0327;0.107;0.124;0.106;0.111;110.004;202640;Mayor;G
3ITvHA9zhZZdBJsOsAUegF;Amorfoda;Bad Bunny;16;4annOKYUndCvdKTI969cLV;Amorfoda;2018-02-15;Trap Luv;37i9dQZF1DWTLxOkM7PwUb;rap;trap;0.742;0.432;-7.539;0.0615;0.984;5.78e-05;0.0796;0.252;148.005;155676;Menor;A
5YF2z4WThIpLNNcByTimJA;No Creo;Big Soto;55;14qjVahyyX2bEKmLiAh7f0;No Creo;2019-09-27;Trapperz;37i9dQZF1DWUmxBdWX3Pp4;rap;trap;0.8;0.629;-3.998;0.103;0.22;0.0;0.425;0.37;134.999;208731;Mayor;C#
