,Curso,Repite,Matemática,Física,Química,Biología,Historia,Geografía,Filosofía,Educación Cívica,Literatura,Inglés,Economía,Plástica,Música,Educación Física
2047,A,No,82.84565799165466,78.77152509432244,73.1409471359645,66.97765530807654,64.36089353329986,,54.676559326119964,52.56484339033627,81.54412284909293,79.13469018755322,91.11880511874463,83.44271566951801,53.62045280717239,37.428714123850995
737,C,Sí,65.34005071148401,71.16974336491695,70.84537508273954,57.12747166956886,39.72885144302698,,46.60905826693871,48.162998990290994,49.3006522417939,72.11194640812651,60.77502409341792,46.896854947017815,61.61195089860101,69.38172996711444
1689,B,No,50.17666551154928,45.10175146694591,38.26181165585577,38.45240612435033,80.81367048640232,,73.5589684657891,63.199732094019566,67.94230183619891,63.18677034993161,62.58775970056906,72.12144206044849,67.03316227669151,67.72886078404291
1176,C,Sí,71.7233008865665,71.33814491472421,68.06485734383668,42.852729328340445,66.12375655105744,,67.55929755343503,55.932612448167205,58.82912316919595,77.80232061413083,59.72441094423466,51.07242716450011,73.90092713309562,65.28830485028288
729,B,No,69.6105083159444,64.82229063414587,55.59596133053349,54.60225056716068,53.32667442448063,57.34726789968303,52.760106558688804,53.18068287910288,67.34809777863522,61.039381397195456,56.81650980264591,67.52362926790693,51.9964622679707,69.77524630654224
291,B,No,58.51262616310989,54.42976170591599,48.655605309509674,49.14571047608717,72.51519661041806,,64.4549774831408,65.57003040459658,68.43849717323013,69.01949075322914,65.19081013664047,81.57291553533702,70.21160410508807,65.45429942564701
2071,C,No,79.75984103920925,68.36727171152978,65.43236987399837,62.59844480666893,80.92930442936523,77.34151905246485,74.94879242517058,62.517411380153604,81.07487517647175,70.82429031687953,80.79889952993265,66.66418238854678,76.45821941471293,69.80538695018839
1329,C,Sí,49.862680532012774,76.29509158983561,61.646708171520054,61.53356159481972,58.35083979690086,61.16862611907979,60.52659442067139,45.992697804236705,53.05907217999562,65.25798957059399,54.23390286163812,44.563288242664235,68.07219209171116,68.48731429144985
892,B,Sí,64.0514323268595,70.68995203652938,64.7745147665063,50.84830037077681,76.37990082112783,68.40166253355792,59.7485010429081,50.79153553922965,63.808860763894735,77.25826017728535,62.435104468173854,57.789510313669076,68.31684401991143,
1686,B,No,76.3484687848158,65.7418046341582,55.64907373409051,60.69310648903389,78.00518000533866,76.09234258547656,75.47381067960626,66.59278739957318,76.0855583811527,78.70868371765782,62.9045697769051,69.80720726235349,73.05894910473313,69.03838004079194
2146,A,No,71.79573362553035,72.96021956011295,66.09569602473069,55.74620107640842,71.23043227020594,63.215640417560834,61.892074313112616,56.64215790971746,81.91119217497011,70.76939715579596,71.55447059073529,80.34620262185142,68.11737766877835,49.810035899318116
1540,B,No,73.14593516393407,61.77097933405594,63.07407562807318,58.59886730911195,79.52459399243422,69.19231774327272,70.84233695896974,59.62987944750033,77.14678888219503,67.07489083353154,71.32308282864807,82.07802293522865,69.78986883421003,78.98257653603679
1628,A,No,74.86497244932708,70.40322472693524,64.44064881302727,63.83471700303623,72.95411365679954,,62.365082437719856,53.24442547476353,68.2025826885566,69.44460523371608,64.91034920523175,94.44766011351429,55.957861641285746,57.048002313637895
1692,A,No,80.0374235122291,71.56694950240022,58.941201459473966,58.09987068963926,64.35368891726486,59.46095739782561,57.10378191950142,56.06317800804941,60.999868100109296,74.0937487402223,80.8489395091256,64.2126010557156,62.340152306094176,31.690994424297724
2481,A,No,89.01854801777012,79.33992148655703,72.62556491516746,72.67597140341675,68.7478014851594,65.24412033481225,56.36896644555829,57.279017212704254,70.56322400488197,77.77929855575135,75.00054511399038,79.7431486523766,61.34514229341487,70.16729745681297
1277,A,No,73.7834188208448,70.3955682300631,69.17823190211816,62.39973661230201,69.31238856506316,61.65093262596563,63.99931795768339,59.32235023697155,76.07731972862854,69.89320281069097,79.52196356637336,83.36406938524415,56.57114113500017,66.62541896017177
601,A,No,68.10405279053953,65.63806098903545,61.776863951017354,57.06480105596745,62.07265292306116,60.40616909880193,51.58223108624306,48.362438652808656,68.95440316580738,66.74014826267423,62.82443263952214,93.15391585778083,66.76402250102743,47.1806522797184
1373,A,Sí,79.66331004604297,76.13560040109402,59.40817778332321,60.60604108715837,54.96582123623931,59.593996237345515,48.19561190438598,33.72547173395598,55.5857937001161,70.14399098819862,65.78609669357316,62.74173941206782,62.372132131311005,76.4884732420446
2247,A,No,74.98371211673279,70.05825075059292,65.8375715222707,58.061602303544426,66.2391918268725,62.26405829472098,59.43199117624364,46.33302935607858,66.02232496819398,77.78860549335418,82.64632352397597,93.41786027978188,61.68573888080284,59.566246478188184
2138,C,No,63.741696660549835,62.03147458880371,56.05763924156611,57.09514764768397,96.31867593120216,,66.28807506592388,67.11026950181177,84.52960135878156,79.11316679608946,84.21862080619738,88.4394684155258,80.17795957147366,64.17838465493425
0,B,No,70.86476627021469,70.37673772245631,63.55318830084541,50.77126792574286,88.8307826812467,78.32711244503763,64.20898297464707,64.9426368042113,72.3380880601312,70.31672350417787,63.73859954636521,59.2490121799429,70.59953322308289,93.98955893300393
267,B,No,69.12415070933713,69.0950296853243,71.60975981579604,55.67398016987311,69.9238826660872,65.92902750315174,65.98286977374772,67.23675080868465,74.9025816508714,73.06120630477643,64.0847372360582,67.99201382541109,63.12852500938267,61.73169286310432
1845,B,No,48.48733964329719,38.32845149830428,43.57349128258332,46.01414528977463,82.2214012983835,73.71256064837847,71.07192087248185,56.06403660087207,69.6765524669175,58.44174447688331,54.83479131807116,65.3932626429432,74.14067675936278,80.54251636383245
695,A,No,77.71075458255746,69.23969320762188,70.1996726639412,73.72184044591341,77.4895575536075,61.84451440198574,59.18747344720998,63.79290789572467,72.0040522317881,72.28584245694357,75.70979833127326,72.32733886449081,58.32429540699391,63.62400527177534
99,B,No,49.608871122180126,43.63180098684788,31.932936764759013,47.29831998766629,56.45935598508824,58.620760052994285,56.78838848324975,51.06457013318109,59.40207697868908,43.98039888199139,68.58632271371452,59.95628266500753,53.42153766245551,66.52262356769519
2236,C,No,78.75215633941644,76.02365437865679,66.07240712906177,62.50086129503434,66.14085628280253,,65.48035230862928,44.748062060886554,70.50854226386949,74.8961539694676,82.03875778649157,65.01642776062096,64.97146225090351,67.20842843880516
575,C,Sí,80.81406404469227,78.00252862944878,66.94928705648108,60.851163556807634,74.67044661561036,75.14248033377262,66.8328131053591,56.25391259639507,66.02596418718426,73.21928551616564,64.85391891329314,51.156421250579626,72.8506611919731,73.17491251154523
651,A,No,69.5757828320569,60.35606862132771,70.39032076801257,55.52453081989236,68.21786396572223,58.5529233773014,53.150489185793795,54.96815832077349,55.68340376574821,67.72384067375194,69.995386113973,70.22854462896612,56.893029108781334,80.72024438269585
349,B,No,53.014490053491755,52.18120371939549,52.18986694699137,47.22954495086899,69.04936443540969,,70.18951936449889,54.704416046800596,65.65519540319985,55.724969097943855,57.85868358334993,63.18416358429936,62.205637472271825,79.38876142119842
1291,A,No,71.1829977053407,70.66324329134247,64.28122906339604,61.96856981149835,74.3052780374103,,63.20464947901655,48.763988773367764,69.48981771123017,65.10119749585786,75.29644897053848,63.11639715055848,65.36608042231495,52.164944273372384
1693,B,No,49.35474453751839,39.586866018097794,31.791690776655237,29.05795277618328,75.12459723762973,,62.615118312536524,63.54633512657887,64.6675116281206,64.5245687451667,69.2552163305816,65.76819009017942,72.45175931378733,58.86425761379039
827,C,No,81.22307143157954,76.28986155296006,68.20968040232033,60.68495050338085,75.2098480899768,71.52953057793596,60.141775066491206,57.10569620840607,60.75717872902757,78.90363150298121,83.23832172477624,47.14808178483425,69.52373180545567,57.16484920927423
261,B,No,45.466301996126205,41.957466591640866,33.74919473995636,39.255269147663675,81.0150526631424,72.84485695105246,81.54686893246166,66.28753588686078,78.5341190086688,61.19212254721054,47.76860813134705,77.28782220203429,74.94599025959907,62.837736947079215
2187,B,No,71.44398934128799,63.117160065338055,63.01778338888976,54.05171049590304,81.95452011337687,74.74073986351229,74.20985005713439,65.58254573392996,75.99659385291137,71.2078385722157,76.68281491518897,59.27588672438938,71.93894396985486,63.72566905376652
1597,B,No,57.43940720147039,53.414693638279246,53.59927027511274,43.8669968945646,89.30308807326928,58.095203099661376,59.11265372438852,58.15517402919817,52.373249111270354,65.79081143888412,70.6865605072621,62.47583718924337,61.38211664067613,90.28954492369614
1825,B,No,60.98916944774422,58.45879468758215,53.87213999437549,59.222006947197414,79.00634085972096,54.1179995418417,53.5157893258586,47.42072217876203,66.97262815694272,68.61861286295323,73.0907947777523,61.25070496298459,57.63247310944231,67.72736030766988
696,C,No,74.97875973946115,76.65778954868583,77.45979183143365,71.76071793478346,66.50055404182953,,59.856454691774395,51.612181819837495,61.46849790601682,84.26357894913055,68.29780446326274,69.95450586030888,62.91158187430899,62.626478279818734
2304,B,No,52.63486078846705,51.577591717927994,43.843604289409676,45.24857136049196,75.99669226666914,68.46979049795415,70.24101845834866,62.521572201207334,61.09451469904144,70.26754749923448,66.56533290496846,54.318288273677354,70.20407193419048,83.56417650640373
72,C,Sí,71.63623903942774,76.0070806909031,61.04515991848112,57.69780951967956,63.284094193950544,49.64126438570924,52.17526769498535,47.75426070996128,58.377655467249184,64.82339676751567,56.40089915877651,54.81229633378945,55.20504615736481,51.86600134674707
906,C,No,70.38228339371862,75.48028790070192,57.321551962185254,56.43868993503671,83.76656472632635,,68.44265000459974,77.12285080045316,69.85703648392145,80.67346120376753,71.36540182159962,51.624471667082055,72.99090464476357,59.6148333929823
410,A,Sí,66.41455909043525,71.36878082329714,62.09832763692892,59.2524863383596,66.64346274347433,57.294079621364176,48.94728897600451,45.609348973047496,60.824277500966915,63.79560382347126,67.06628308012871,42.18956373423038,60.49085726799188,
1974,C,Sí,71.28071996394324,68.4996223453829,59.957895435287185,54.53735952200586,73.73517424543276,67.33678281158785,65.71829545794796,60.61054491117803,70.46312157837396,74.8956646047664,65.7042976253718,58.18008889478169,66.54017590068334,64.57061853950806
1713,C,No,82.48429232804192,74.16740172657987,64.41157624793962,77.0475913107764,59.63293867396996,56.44670382718603,60.58548216876841,56.72901791421439,72.4985114967156,74.98274667956888,72.23148358923193,75.93551586753281,54.802638082185126,63.20733166825568
206,A,No,69.26367654202477,61.89736679383645,61.21104299921515,48.676940449953484,70.99293297996905,61.48027460840721,59.74009073306792,62.76827996975473,89.55406203035287,68.75600976511952,61.0870786814683,87.00403755976313,63.76900275923403,51.41817521144961
1577,C,Sí,81.1386537638884,75.62523373646152,65.66754495134244,58.70710662587583,53.29087307157539,51.75047921840267,38.38810925180408,46.87069562459539,61.9795727644951,62.60372257550397,73.77837208568633,34.05760746708767,48.84837096554128,56.84434277770437
1067,A,No,75.0998708871037,74.38598690761518,69.36299053947626,59.41279339230758,71.03166161792984,,46.691327835195594,49.909512183459185,67.46187618065638,56.39348850762592,59.66984416079746,76.62642040756654,55.05813600151085,54.07285001658961
1085,B,No,70.85010588573626,70.51997810790938,68.26782049529115,57.921701642594314,61.61608443122986,60.79848324766172,55.304489109842976,51.474192820472425,71.37770089845912,63.63095323456757,71.8620981064746,66.1653717687275,64.13801133976037,66.80715745592923
2106,B,No,59.4090075909442,49.90746080745122,45.62364221875811,46.016553503302205,78.99508822177829,75.28034030401123,65.19592307178866,58.463322946644126,70.32262338215246,69.33227640492662,63.34987210442582,77.91018014286722,69.6186064199419,
2200,A,Sí,65.4076294776874,69.26608668406178,64.88059711736668,42.32073234218975,51.30863127924189,53.90443665227189,51.03627506440628,33.99820936850337,62.92847839263975,61.71081604278387,61.219318164961294,73.52334887919307,52.03702152506482,63.92601863067747
