song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
16QlvcrfQPyRLfbxcXu0VG;0.504;0.896;10;-6,249;0.044;0.00183;0.0284;0.134;0.0393;149.936;150753
7o2VkCW64Gs5gTvgYNwipm;0.742;0.668;5;-5,449;0.129;0.178;2.07e-06;0.107;0.604;92.019;269867
2bL2gyO6kBdLkNSkxXNh6x;0.279;0.742;4;-6,46;0.0898;0.000185;0.0;0.593;0.328;189.868;231013
57onkj1hvlwkekdwo6LlCf;0.772;0.664;1;-7,664;0.321;0.639;2.7e-06;0.11;0.389;96.204;272747
7scQgTTq4dOhy0mPWXBaF3;0.793;0.812;9;-3,992;0.125;0.295;0.0;0.389;0.6;79.989;243387
1FUViuNSldssMIawrOXF2i;0.609;0.887;9;-4,749;0.0507;0.0504;4.76e-06;0.09;0.316;97.99;191812
5xYGyDdPqhPPfw5T0SwWJi;0.497;0.954;2;-3,491;0.0746;2.78e-05;0.00113;0.289;0.35;104.933;164929
4zzi2eD2cEPpQ3a307mPPj;0.532;0.203;9;-8,524;0.0668;0.829;0.0;0.108;0.543;89.646;259920
5UFXAE1QXIGnmALcrQ4DgZ;0.418;0.66;2;-7,959;0.0447;0.0106;0.87;0.0727;0.245;100.007;302400
08LwN4NnSGYzDWcdKtV92V;0.715;0.67;2;-7,806;0.0348;0.107;0.783;0.0943;0.913;111.877;233853
6crUbvaaSSMuLwgq63Iwdp;0.587;0.772;4;-7,308;0.0592;0.864;0.0;0.101;0.0918;105.996;151824
0lvBfVZK0aYxFwLroArgAA;0.748;0.735;6;-5,68;0.107;0.0236;6.05e-06;0.0881;0.457;104.995;216333
17G9G5tBsdzmKmoHIh00sX;0.853;0.766;1;-3,527;0.0401;0.0247;3.4e-06;0.272;0.835;96.01;197013
36JI0KHc591i9liHaFqDFG;0.637;0.679;6;-4,423;0.151;0.0509;0.0;0.0685;0.621;87.372;269663
3wXhTV5ky83quzaBvYxrJZ;0.68;0.636;3;-7,853;0.0366;0.187;1.36e-05;0.052;0.787;151.296;348000
70SjyVMzhmMeJQD8hOmIBp;0.732;0.789;5;-3,717;0.0476;0.0459;3.11e-05;0.123;0.607;107.978;160760
2zFF6jG5hQArbzcXz3KUWk;0.583;0.61;5;-5,639;0.0382;0.00425;0.000105;0.14;0.336;114.06;214740
3OQu3z3okKVmWxSXTTHak5;0.649;0.536;5;-8,804;0.132;0.492;0.0;0.184;0.513;78.935;245773
1HXM2hwghFTsbOA54isSP2;0.746;0.733;6;-6,376;0.124;0.378;0.0;0.124;0.539;100.168;165026
1bM50INir8voAkVoKuvEUI;0.781;0.745;4;-5,81;0.0332;0.198;1.14e-05;0.36;0.326;129.998;269493
6wU8XNHA98WAzNiLqiQiru;0.665;0.595;1;-7,036;0.0518;0.227;0.0;0.217;0.593;96.971;204076
6klLvorLoo1sxvZcjJIY8I;0.876;0.733;10;-4,478;0.333;0.0208;0.0;0.0999;0.962;154.904;148630
4n7jnSxVLd8QioibtTDBDq;0.509;0.689;1;-4,929;0.102;0.0209;0.0;0.301;0.297;170.087;193798
10fddGyyeUquZZ2uPTjD7P;0.449;0.682;2;-5,295;0.029;0.205;0.0;0.175;0.254;139.924;223533
0eTX0DeAdYZGCUIpUNNbLw;0.801;0.469;4;-13,131;0.182;0.221;0.101;0.0837;0.317;115.096;348527
1DZ9n7K1LZW8bWBZqGJUfN;0.607;0.707;9;-5,509;0.106;0.00842;1.71e-05;0.348;0.117;128.014;252933
6jl6WS8xKvtUkPAnC9UsBW;0.814;0.723;11;-7,256;0.154;0.25;0.0;0.318;0.704;119.953;162000
7zCrKhN2u32tUQxDuIlemt;0.829;0.949;11;-1,236;0.276;0.249;0.0;0.278;0.627;103.003;183053
3Pu3IChaAoa5EjgUBv5F6x;0.644;0.799;4;-10,856;0.0598;0.0821;0.00154;0.055;0.889;108.382;246573
2FllN4dJIdS4BvqJkTrLmZ;0.722;0.466;9;-9,503;0.192;0.921;0.179;0.0883;0.0911;82.013;163759
3ZCTVFBt2Brf31RLEnCkWJ;0.704;0.225;6;-14,454;0.0994;0.902;0.657;0.106;0.243;120.006;245426
5MT96Zz0ymUJNm8obKZQr0;0.732;0.605;0;-3,15;0.086;0.679;0.0029;0.114;0.143;115.942;257328
308BpHy6evPQz9hSPpSLNf;0.534;0.95;9;-2,712;0.161;0.012;1.91e-06;0.413;0.527;140.071;207587
1TPVFKsYJqlY3eN6wdDWFR;0.782;0.392;1;-14,014;0.282;0.0969;0.000216;0.162;0.432;95.121;287347
22VdIZQfgXJea34mQxlt81;0.705;0.769;9;-5,526;0.0426;0.112;0.0;0.105;0.59;107.939;213520
0dspBfwPVsZJWQF1JxFZz8;0.724;0.529;6;-9,987;0.0496;0.151;0.91;0.1;0.895;93.007;128063
3NYCaxkggl0Hh8vQptSUvV;0.559;0.764;2;-7,058;0.0348;0.00441;0.0299;0.0807;0.932;143.319;213693
1WcQA7YWCWb2uSlFbNzBr3;0.755;0.64;6;-7,788;0.189;0.235;0.0;0.0627;0.762;171.968;237907
3r336reBqogLmUgTpXzWpz;0.857;0.481;10;-7,919;0.151;0.222;0.0049;0.161;0.609;101.014;227541
3L0Dg5V8V4XLugW7PXhKdk;0.693;0.662;2;-5,914;0.0381;0.602;0.000107;0.131;0.481;94.99;194403
6Hx9KYTINDIqXuykRkLTbq;0.482;0.966;5;-2,265;0.0637;0.00444;0.00739;0.894;0.228;128.039;180015
5szPcyUvZ5B2P4LnzFz2Au;0.771;0.397;11;-14,158;0.0589;0.707;0.944;0.112;0.914;137.833;97625
5RKBwCygT5D8ksFZZz6H7Y;0.342;0.702;2;-7,096;0.0411;0.0775;0.107;0.113;0.516;168.021;204375
3dXPYSI6qUKXKahgHbuN30;0.668;0.758;11;-9,36;0.0823;0.121;0.624;0.332;0.0594;114.957;252429
