track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date
5nR1FL7koznk1OkRpjuZsH;Southside Anthem - Kaytranada Remix;Big Dope P;0;6wGntdwdcv28v1ELnllPFU;Diggity Two;2013-07-29
1PmU8dWoCrO7JUS4nNzRO9;Glow - JSapp Remix;Britt Nicole;21;5YQXfbIAU4nV6f3MospM65;THE REMIXES;2015-03-17
17gmQiUAmUvJwXOrOHDe2C;Dead Machine;Egypt Central;41;3kIPnt8QHPowxMhwfureJ1;Dead Machine;2019-07-05
257netJMcq74uicLY08DNB;Novias;El Guincho;28;4yXMaAnwTZlKekLCULIIMn;Novias;2012-03-12
0HaAoQJ1PgF0gIm1o6JYIM;Where Them Niggaz At?;Pastor Troy;9;5almm5i3TH8NFWo1M1iEJ1;Face Off Part II;2005-03-01
1iEwyiSLAunPR6uouANE0O;El Perdedor;Maluma;65;3PomvFR694SrCSZzDWMWV7;Pretty Boy, Dirty Boy;2015-10-30
5Jj9pRGss8sPx2pWWQIsL3;Voices;Jawknee Music;20;3tIYbVsCVBMPdDXq6sjyvL;Heavy Heart;2019-12-13
7FGq80cy8juXBCD2nrqdWU;Eastside (with Halsey & Khalid);benny blanco;79;7dQ734EW0iLvQfF6vBFNiZ;FRIENDS KEEP SECRETS;2018-12-07
424ga21oScJ3e1YvT9JxlT;Boogie in Zero Gravity - Extended Version;Black Strobe;0;79uEeMciy2R8gq2JeqBmwY;Boogie In Zero Gravity;2012-07-16
17G9G5tBsdzmKmoHIh00sX;Me Gusta - Remix;Natti Natasha;70;1D7lFbv4p8DjJVKOcHfX1r;Me Gusta (Remix);2019-05-01
2Pqzf2KbYm8dpFNaDqJCsj;Losing Hope;Stormerz;29;5Fx2qSBbBf8nLH8UmJHStY;Losing Hope;2018-10-05
6Gg1gjgKi2AK4e0qzsR7sd;Bandit (with YoungBoy Never Broke Again);Juice WRLD;92;3t6Z2qoBVCS4NHNI25XECH;Bandit (with YoungBoy Never Broke Again);2019-10-04
4S4ALVSVFI64Hr5UWuU6Gk;Like A Boss;Kura;0;7L4HewpLr2v9REubPDaAdB;Like A Boss;2018-10-12
7ACCDmXvdV7alpC7Cb0ush;Vermin;dolorifics;25;2yHJCvsX9VWb2DLPF4gUaM;Vermin;2019-11-15
6v3KW9xbzN5yKLt9YKDYA2;Señorita;Shawn Mendes;88;0xzScN8P3hQAz3BT3YYX5w;Shawn Mendes (Deluxe);2019-06-19
1gyee1JuFFiP476LQpRMYU;The Red;Chevelle;68;481JiVXZYUlTtqlv9ewJXV;Wonder What's Next (Expanded Edition);2002
2RJsc3MxI6vPPnzHM0eGBo;Made to Sell;Miguel Dias;34;5EfzeiUivb6bj8Rzd7pmVN;Made to Sell;2019-12-20
0wkQ1NGp0D1QjC59vmbYNY;Youth Gone Wild;Skid Row;43;0D48ZbriW82M2GbOKCbd1G;Best Of;1998
