song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
6AEdWbrFREOUNmI1hMPbyc;The Sound of New Jack Swing;0zn8nuASKC0PISqD9mxCSV;r&b;new jack swing
7yi70YT2UBu5FpNLUUpkc6;80s / Classic Rock;29dTrOurPDrMcrnio2q6hZ;Rock;classic rock
6xEnbXM1us9fDJy2LC0lru;< DARK TRAP >;19WuHd4MxWLzE1fpMmw4S4;RAP;gangster rap
0aLG42zaidNkblhiQgJknP;K-Party Dance Mix;37i9dQZF1DX4RDXswvP6Mj;pop;dance pop
1ZMiCix7XSAbfAJlEZWMCp;Fresh Essentials;4RFszTXlSMZFgpqIJS3754;R&B;hip pop
3XcsaghGUCL9WzJz3TlLKo;Southern Hip Hop;4lcyWQDOzPfcbZrcBI3FOW;Rap;southern hip hop
4WpCUxvZhpWQynzvIAXmtR;Hard Rock Classics 1967-1991 (Party Edition);1NIX36ZFWEtgXSbSNghoue;Rock;hard rock
0tXq1ob3ysGZN2oK1abtyp;urban contemporary;7en9i0JMyJlRFX4r4XrXXx;R&B;urban contemporary
30MFmjElHOCOhfu6q48Wtv;The Sound of Southern Hip Hop;18jT9NMRZifv6cMtK2jWD4;rap;southern hip hop
2fzRBJ6xbrHGyRCBR2fE9n;"""Permanent Wave""";3HjTMn6O6adW8vcSMnqmhw;Rock;permanent wave
3MckdkpumOZiX2efM3B266;PAROOKAVILLE - Big Room;6vbHQdtfmexb0ptmBSpemm;EDM;big room
3e9HZxeyfWwjeyPAMmWSSQ;2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥;4JkkvMpVl4lSioqQjeAL0q;latin;latin pop
6z8sQFj47s9ZG0Ls1k9Gct;¡Viva Latino!;37i9dQZF1DX10zKzsJ2jva;Latin;reggaeton
4hPpVbbakQNv8YTHYaOJP4;Most Popular 2020 TOP 50;1fqkbjEACMlekdddm5aobE;r&b;urban contemporary
6bfTktuowT5bIMe87Q5rmp;Pop EDM Remixes;4aUEH3uhbofktrFkXOOaKj;edm;pop edm
4cZ1wv3XMgUNjIn4PtzhWF;Reggaeton 2020 ☀;7xWuNevFBmwnFEg6wzdCc7;Latin;reggaeton
