song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
2siv7IrEa2khUf70k7vp49;90s R&B - The BET Planet Groove/Midnight Love Mix;7LjRWGUdOmBdPG1W1bga4i;r&b;new jack swing
5l93giGtSBNAJUVj8hPygt;Zona Trap;37i9dQZF1DWXU2naFUn37x;rap;trap
2flxduIqEbsicdmPyj1WVW;Indie Poptimism;21nxmipQe5xtXoHHPaYfnY;Pop;indie poptimism
31ue6kAOfrqVrdoPdfkq40;Urban Contemporary;4Pbs84EQbuAblxlp6Chz0d;r&b;urban contemporary
6RnkFd8Fqqgk1Uni8RgqCQ;Female Vocal EDM;5QaPRbVgbEcCc9jC1UxgD1;edm;progressive electro house
0kymzJsB4BWaqq1DhOrM8a;Contemporary Hip Hop;68y3WoFJMMKDHUIpqCnoM3;rap;southern hip hop
5EwwwdsQfKI8ZnFG93j5Zu;Hands Up‏‏​​   ‍;1lSdljPk8zcAdXVMUduDia;Edm;progressive electro house
2x28X8t6xaomkkn1ssHJ5E;urban contemporary;7en9i0JMyJlRFX4r4XrXXx;r&b;urban contemporary
2rwmKpWW6o6anOhvcyiJOw;Gangsta Rap/90's Hip-Hop;62spXXfUxBed8nbd5xvH2O;Rap;gangster rap
3onYsieuDICdVt5ULZSExF;Ultimate Indie Presents... Best Tracks of 2019;37i9dQZF1DWTc5QDlvD7t0;R&B;hip pop
2LG8qfrWc1UeViqnGMKnkJ;Selected House;2JPzPB9jnvJLAYtmCbvZy8;Edm;progressive electro house
40MkEbKzuSW9ET6HBngqnK;EDM/POP;6gHk5RFrnALbDNJdaXKivi;edm;pop edm
5moQ2JNpgLALsYDdqqLL1M;Vocal House;5PCAWKfUWAUj8VeY8G7xRQ;Edm;progressive electro house
04MLEeAMuV9IlHEsD8vF6A;Trap Americana;7tkgK1tm9hYkWp7EFyOcAr;rap;trap
7HGTkn2aX7MNdKs7nV2xBt;Dr. Q's Prescription Playlist💊;6jAPdgY9XmxC9cgkXAVmVv;Pop;post-teen pop
4RhTrVbuxNDwWJ6CLl6zc5;Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban;3krpccUV68nBGAQbvHEZDC;r&b;new jack swing
4yUZoJivUgls6qxb2MwKiI;Top Urban Underground;4Gc9TFxlqmoe50m9Yy78ei;r&b;urban contemporary
6FqH28raIkXVlcHDUvlEzA;Fitness Workout Electro | House | Dance | Progressive House;6KnQDwp0syvhfHOR4lWP7x;edm;electro house
6ekeactpFOI9b9NzwWDDb9;Jazz Vibes;37i9dQZF1DX0SM0LYsmbMT;rap;hip hop
4aVuWgvD0X63hcOCnZtNFA;Permanent wave;0tOy7ZY4E2PadXIyj8zU43;Rock;permanent wave
653aI5kYEj97kuAKj9nY4N;Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs;3xMQTDLOIGvj3lWH5e5x6F;r&b;hip pop
2devxXJUTEIFmgt8cXaqmO;EDM 2019;1T0ed6Mg0QIruHvcoWWIKy;edm;pop edm
35ngDYO5CXM5bnidQqXajm;Contemporary Hip Hop;68y3WoFJMMKDHUIpqCnoM3;rap;southern hip hop
4LFAONzsrPH6nIJXC7qIbm;90s/00s Hip Hop & RnB;0Ar0Ng9DlAWZtSPBvOQgOa;r&b;hip pop
6tZAvhrqkVhwFgptDHz5Wr;90's NEW JACK SWING;0dmInkymNnOTWvEFamSNzb;R&B;new jack swing
3IgTG5T8Mv0a7wBvbc0iNv;Lofi Hip-Hop;37i9dQZF1DX36Xw4IJIVKA;RAP;hip hop
1bFu9dB0hOkrAWcHbbMhqR;Latin Pop antiguo;4BmnnqWEQAamNoVjtjrQJP;latin;latin pop
1hcJnBEipKvSyL9QE4bcQ7;🔊BASSBOOSTED🔊⚡ELECTRO HOUSE⚡🔥EDM CAR MUSIC2018/2019🔥;4GSiiL8tcMgvoV7K1IADb8;edm;electro house
4twOuEvYNHNUc9dHUqhhUY;City Pop 1985 シティーポップ;3j2osvmecEao5nmo9jZ5df;ROCK;album rock
2RXjRQ4RadpQTecRfRHa13;R&B 80's/90's/00's;2Ey63yNQeC9Yto7JwX9BGJ;r&b;new jack swing
45GtpfaI7fg7mSZBQTNJss;EDM 2019;1T0ed6Mg0QIruHvcoWWIKy;edm;pop edm
1lOe9qE0vR9zwWQAOk6CoO;Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop;46Cl6dmeiylK6TRGXr7hHe;POP;post-teen pop
2iHr1co9ElgzHredwMNKOy;Reggaeton Classics;37i9dQZF1DX8SfyqmSFDwe;latin;reggaeton
29zWqhca3zt5NsckZqDf6c;♥ EDM LOVE 2020;6jI1gFr6ANFtT8MmTvA2Ux;edm;progressive electro house
0vti3nT1A5mKi1kgIu0ceg;Gangster Rap Deutsch;1qXg9ck25tBRxeXsj8mbDG;rap;gangster rap
61QSuw5VlC0LTS8WMO356g;HIP&HOP;5DyJsJZOpMJh34WvUrQzMV;rap;southern hip hop
65RMx7i8rPZNRq6jGmqzeu;Indie Poptimism;21nxmipQe5xtXoHHPaYfnY;Pop;indie poptimism
7uKcScNXuO3MWw6LowBjW1;The Sound of Urban Contemporary;07zF8MjQPsiYUXiAIGZ5TA;r&b;urban contemporary
4sjiIpEv617LDXaidKioOI;New Hip Hop‏‏​​   ‍;5WNUX6jisX0NRlVDTm6RDd;R&B;urban contemporary
0oInDc8Q0nc8I6mKIliCfk;Indie Poptimism;21nxmipQe5xtXoHHPaYfnY;POP;indie poptimism
