song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
7L87B1YWTT11I0mSAEYEOF;0.678;0.462;0;-7,842;0.0628;0.0811;0.0;0.11;0.121;129.866;244280
4eCE7kaSrhsyTNkiZw2KKY;0.609;0.416;10;-9,654;0.0581;0.783;2.36e-05;0.374;0.545;98.033;155453
5t0JbiIajmkJorekBSCz6S;0.808;0.588;0;-6,491;0.113;0.127;0.0;0.113;0.771;149.969;169600
4bYJKHG6KLdGzHQRJMaFc8;0.581;0.831;1;-8,045;0.107;0.0458;0.0;0.0782;0.885;144.684;168160
2zcPV7NeGyhSZJK0WjETx7;0.79;0.506;7;-7,052;0.118;0.146;0.0;0.0876;0.456;105.018;193880
6ANCLKKUMPt0vfRdYQAqcd;0.457;0.861;0;-4,916;0.0612;0.0824;0.000555;0.3;0.231;87.971;309360
3R6BkHp37wmjYlpzaU1ODd;0.85;0.748;11;-3,687;0.0371;0.194;0.0;0.0764;0.961;130.073;250125
4ncDAlyP3gmCWefTlj27zp;0.591;0.596;2;-6,38;0.0278;0.141;0.0;0.11;0.333;111.009;205473
1uXl3Nuhgkwx28NIaCMUzy;0.636;0.6;6;-6,964;0.0288;0.211;0.0;0.141;0.476;100.051;214827
0owL3tvmERawo5yh2lZqmT;0.401;0.877;10;-3,303;0.0694;0.065;0.0463;0.321;0.343;148.009;214071
0ERbK7qVqveCaBWIiYCrl3;0.635;0.713;11;-6,909;0.0937;0.228;0.0;0.0506;0.749;179.864;204701
3AKwyujeGxTQSZNbx9Ka3c;0.759;0.366;5;-10,692;0.0459;0.667;0.112;0.0907;0.319;116.008;239079
4XJf9EhLAiYkGeuGHlqjzB;0.527;0.772;9;-5,313;0.0765;0.0248;4.81e-06;0.108;0.438;97.948;264520
6nbWsD9NuzBYxn52iRLRBL;0.688;0.686;9;-8,64;0.0743;0.458;7.24e-05;0.2;0.757;150.14;215840
6ORqU0bHbVCRjXm9AjyHyZ;0.475;0.432;7;-7,844;0.0302;0.183;0.0;0.161;0.648;94.605;153467
57ku0GRhHxZugoRpmMyKhn;0.708;0.602;2;-9,351;0.0418;0.329;0.00237;0.128;0.721;143.813;296105
6M6lsQB4OhqL41eld29PeC;0.472;0.833;10;-4,486;0.162;0.297;0.0;0.056;0.413;166.271;296227
1afvj3F24pPABgXenbjmdQ;0.488;0.954;11;-1,584;0.326;0.0798;0.0;0.163;0.596;202.535;272920
7qCAVkHWZkF44OzOUKf8Cr;0.628;0.69;8;-5,828;0.0511;0.446;0.0;0.112;0.662;179.911;205907
2S3osqN6ruuoAg1kUvf7u4;0.56;0.71;0;-8,27;0.0458;0.189;1.52e-05;0.697;0.498;87.004;217467
5ztchKx1kmWXmc6fN6pNsm;0.566;0.675;9;-8,063;0.0305;0.000603;0.0134;0.0757;0.385;139.981;264009
3TuVVHeIC7rxINHJBsOA7T;0.349;0.969;0;-2,468;0.0753;0.00553;0.0346;0.355;0.405;132.013;181590
2Lh9Vp6Bi83hNe5RFYh8SA;0.6;0.78;4;-5,196;0.0379;0.0314;0.0;0.116;0.437;122.038;189836
3zkWCteF82vJwv0hRLba76;0.746;0.754;1;-6,681;0.067;0.0152;0.0;0.0486;0.764;149.882;206880
4hnCqMbhZtWiGnhbB1yyng;0.788;0.714;4;-7,454;0.0483;0.0199;0.000721;0.19;0.885;105.011;198752
1DZHzaYUXBCZCQnJQx1ak2;0.521;0.833;6;-5,778;0.0357;0.000585;0.00145;0.0787;0.439;98.034;281962
0hCB0YR03f6AmQaHbwWDe8;0.412;0.902;9;-11,6;0.405;0.0484;0.131;0.405;0.422;89.74;333893
1zQPmA4n3euo6UEV4R4col;0.541;0.493;9;-7,841;0.0292;0.774;0.000135;0.0763;0.601;118.634;132034
4MX33MuK1h15xjfSpXU4tj;0.599;0.993;1;-1,026;0.107;0.000757;0.557;0.487;0.343;127.998;219375
2TyCAfhwu5tRqFW8VnGMIL;0.823;0.411;0;-7,061;0.0557;0.409;0.00135;0.649;0.397;90.997;257547
55IOt0T1KbTgWpsliVyaWo;0.743;0.759;6;-11,752;0.0352;0.000106;0.00253;0.0493;0.74;114.617;384733
