camis;dba;zipcode;cuisine_description
40915451;DA NOI RESTAURANT;10314.0;Italian
50015534;MANGIA FRESH KITCHEN;10312.0;Italian
41184056;APPLEBEE'S;10309.0;American
41308249;ORIENTAL PLAZA;10314.0;Chinese
50019096;LUK & BART HOMEMADE FOOD;10303.0;Polish
41448021;PIER 76;10301.0;Italian
50000865;FLANAGAN'S TAVERN;10308.0;American
50048902;FUEL FEVER II;10305.0;American
41397825;CAFE CON PAN BAKERY II;10302.0;Bakery
50045479;FORTUNE HAWAII;10305.0;Chinese
41646201;120 BAY CAFE;10301.0;American
50047996;YUMMY TACO;10305.0;Tex-Mex
40865879;EURO PIZZA;10312.0;Pizza
40550262;MUG SHOTS;10314.0;American
40609705;BARIOS PIZZA & RESTAURANT;10314.0;Pizza/Italian
41572685;BROOKLYNS FINEST PIZZA & RESTAURANT;10305.0;Pizza/Italian
40883049;DUNKIN' DONUTS;10305.0;Donuts
50067284;DON CHUCHO;10310.0;Mexican
50051178;CHIPOTLE MEXICAN GRILL #2308;10306.0;Mexican
41036469;VILLAGGIO PIZZERIA RESTAURANT;10307.0;Pizza/Italian
40390850;CAFE LUNA;10305.0;Italian
41658786;PIECE-A-CAKE / COOKIE JAR;10306.0;Bakery
50056512;INCA PERUVIAN GRILL KITCHEN;10306.0;Peruvian
50065301;NOTO'S CASA CUCINA;10308.0;Seafood
41123415;NURNBERGER BIERHAUS;10310.0;German
50073040;JUICEMINE;10301.0;Juice, Smoothies, Fruit Salads
40510804;WOODROW DINER;10309.0;American
50069179;MR V'S PIZZA CAFE;10309.0;Pizza
41365330;NEW EVERYBODY'S KITCHEN;10306.0;Chinese
41271464;CAROUSEL FOR ALL CHILDREN;10314.0;Hotdogs/Pretzels
41466245;ATLIXCO BAKERY & DELI;;Mexican
40993786;DUNKIN' DONUTS;10308.0;Donuts
50008317;EL PATRON RESTAURANT & LOUNGE;10304.0;Mexican
40400556;LEGEND'S PUB;10314.0;American
41410016;RALPH'S ICES;10306.0;Ice Cream, Gelato, Yogurt, Ices
50014920;FUSHIMI JAPANESE CUISINE;10306.0;Japanese
40364286;PLAZA BAGELS & DELI;10306.0;Bagels/Pretzels
50018782;CHIKURIN;10306.0;Japanese
40911185;PAESANO'S PIZZA;10314.0;Pizza
41614438;THE WEST SHORE INN RESTAURANT;10314.0;American
50015315;MY PIZZERIA;10304.0;Pizza/Italian
41702705;ZZ'S PIZZA & GRILL;10301.0;Pizza
41635663;CINDERELLAS RESTAURANT;10301.0;Mexican
41695054;CASA VERDE;10306.0;Pizza/Italian
40370910;PERKINS RESTAURANT & BAKERY;10303.0;American
41508258;BELLA MAMA ROSE;10303.0;Italian
