camis,dba,zipcode,cuisine_description
50044818,J&M PIZZA,11691.0,Pizza
40401742,MCDONALD'S,11413.0,American
50050924,GOLDEN LEAF SKY,11355.0,Chinese
50033184,SHAKING CRAB/ONLY ONE PLACE,11354.0,Seafood
50016354,THE EMPANADA SPOT,11372.0,Spanish
50007942,TRU,11105.0,Greek
41598063,FOREST HILLS BAGELS,11375.0,American
50075410,LA BIENVENIDA RESTAURANT,11377.0,Mexican
40536616,RIAZOR BLUE TAPAS BAR,11372.0,Spanish
50058174,SMOKE BBQ PIT,11434.0,Caribbean
50013883,NEW YORK SHAKE & BURGER,11435.0,American
50046117,ASIAN GARDEN L & Y,11421.0,Chinese
50036890,NEW SHANGHAI TIDE RESTAURANT,11354.0,Chinese
50069376,Qingdao,11354.0,Chinese
50067198,EL DORADO RESTAURANT,11385.0,Spanish
41168585,NEW ORIENTAL GUYANA RESTAURANT,11419.0,Caribbean
50036921,MAZI NIGHTCLUB,11418.0,American
50015494,DRUNKEN FISH,11385.0,Japanese
50078917,INTERNATIONAL RAW BAR,11361.0,Seafood
50012840,MR. WONTON,11421.0,Chinese
50067408,Matsuri,11377.0,Japanese
41280293,GUADALAJARA DE DIA NO.  2,11385.0,Mexican
50008831,RALPH'S FAMOUS ITALIAN ICES,11379.0,"Ice Cream, Gelato, Yogurt, Ices"
50009628,C BAR & LOUNGE,11418.0,Caribbean
40370167,BURGER KING,11361.0,Hamburgers
41428580,BUON GELATO,11379.0,Italian
41623768,GINO'S PIZZA,11691.0,Pizza
41697107,MAMA'S COOKING,11691.0,Caribbean
41476602,PARIS BAGUETTE,11354.0,Bakery
41595576,CHINA KING EXPRESS,11435.0,Chinese
50038413,ANDRE'S HUNGARIAN STRUDELS & PASTRIES,11375.0,Bakery
50075766,MOMO CRAVE,11377.0,Asian
50072980,OK LAH!,11354.0,Chinese
41016740,SATGURU SWEETS & CATERING,11420.0,Indian
50055910,NEW GREAT DRAGON,11411.0,Chinese
41714688,MILLER'S ALE HOUSE,11374.0,American
50084092,DOSA DELIGHT,11372.0,Other
41595437,JAMAICA MULTIPLEX CINEMAS,11432.0,Hotdogs/Pretzels
41345931,PETE'S RESTAURANT & PIZZERIA,11361.0,Pizza/Italian
50051529,BOON BY MOLDOVA RESTAURANT,11104.0,Mexican
50001973,CASCATA,11430.0,Sandwiches/Salads/Mixed Buffet
41696419,DON ALEX RESTAURANT,11372.0,Peruvian
40856899,MCCANN'S PUB,11105.0,Irish
50015494,DRUNKEN FISH,11385.0,Japanese
50064349,THE QUEENS FOOD COURT,11434.0,Soul Food
50079560,Mr. Whuang BBQ,11354.0,Other
40401543,USA DINER,11422.0,American
41265425,CHILI'S GRILL & BAR,11385.0,American
50044861,Lao Jie Special Soup Buns,11354.0,Chinese
50002542,DUNKIN' DONUTS,11430.0,Donuts
41647006,MEAT VEGGIES & PASTA RESTAURANT,11420.0,Caribbean
40964100,EL REY DE LOS TACOS,11377.0,Mexican
50006618,SABOR ECUATORIANO BAKERY,11373.0,Bakery
