nRest,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type
41705979,02/01/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,CRITICAL,37.0,,Cycle Inspection / Initial Inspection
41646872,11/16/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,14.0,,Cycle Inspection / Initial Inspection
41635367,10/17/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,,Cycle Inspection / Initial Inspection
50070550,12/04/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,20.0,B,Pre-permit (Operational) / Re-inspection
41059016,07/31/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,16.0,,Cycle Inspection / Initial Inspection
41570371,04/19/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",CRITICAL,13.0,A,Cycle Inspection / Initial Inspection
50081712,11/23/2018,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,40.0,Not Yet Graded,Pre-permit (Operational) / Initial Inspection
50077496,08/08/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,32.0,,Pre-permit (Operational) / Initial Inspection
41402050,09/09/2016,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,8.0,A,Cycle Inspection / Initial Inspection
41463979,10/27/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,critical,29.0,,Cycle Inspection / Initial Inspection
50058812,11/07/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26.0,,Cycle Inspection / Initial Inspection
