Edad,Educacion,Sector,Ingreso
49,Primario,Servicios,37173.198820938815
43,Primario,Agricultura,33045.13476911789
51,Secundario,Agricultura,40200.31582570745
60,Universitario,Servicios,
42,Primario,Industria,36293.789175832506
42,Universitario,Servicios,
60,Primario,Servicios,
52,Secundario,Servicios,36041.33336363856
40,Universitario,Tecnología,53502.618441147104
50,Universitario,Servicios,
40,Universitario,Agricultura,28581.02134184715
40,Universitario,Industria,34177.73577160372
47,Secundario,Agricultura,37388.26478754853
25,Universitario,Servicios,35099.50016511489
27,Primario,Servicios,33406.08796535802
39,Universitario,Industria,38049.25731830073
34,Secundario,Servicios,32794.03386420993
48,Universitario,Industria,46173.91473908217
35,,Tecnología,56395.17755824764
30,Secundario,Agricultura,29673.36195487232
59,Secundario,Servicios,40663.304804886015
42,Universitario,Servicios,37127.98222565424
45,Primario,Servicios,39829.121618460966
30,Primario,Servicios,37823.28928858707
39,,Tecnología,58418.02615929889
46,Primario,Industria,48556.22674950208
33,Universitario,Industria,40535.30651171744
48,Secundario,Servicios,44841.836580814015
38,Universitario,Industria,43839.05118383799
42,Secundario,Tecnología,53355.64835930572
38,Primario,Industria,47813.47988050076
63,Universitario,Agricultura,42991.61309015611
44,Secundario,Industria,42827.82391548607
34,Secundario,Agricultura,26682.028130403025
53,Secundario,Servicios,42386.30218056305
32,Universitario,Agricultura,29652.739181070338
47,Secundario,Industria,46589.16906252482
25,Universitario,Industria,38245.23469377154
31,Universitario,Agricultura,34199.829498305524
46,Secundario,Servicios,42686.172608939545
52,Primario,Servicios,41562.5423650601
46,Secundario,Servicios,42165.242323069935
43,Primario,Agricultura,28069.904385889844
41,Primario,Servicios,37991.70819978724
30,Secundario,Industria,46237.22539893244
37,Secundario,Agricultura,28927.816418430506
40,Universitario,Agricultura,27609.46428552366
55,Universitario,Servicios,39391.64444562776
48,Universitario,Tecnología,54841.46785063045
27,Secundario,Industria,34660.95236748918
48,Secundario,Industria,44717.96760563988
41,Secundario,Servicios,30777.73192328543
38,Universitario,Servicios,35262.473335798415
51,Primario,Agricultura,
55,Universitario,Industria,45368.97527941232
54,Secundario,Tecnología,
36,Secundario,Industria,43443.16835411038
41,Universitario,Industria,47522.32234249623
48,Secundario,Industria,43568.66178459145
54,Universitario,Agricultura,40018.10090826646
40,Universitario,Tecnología,51632.264398418745
43,Secundario,Agricultura,35760.990003346036
33,Secundario,Servicios,33887.35735917412
33,Secundario,Agricultura,30413.004879939133
53,Universitario,Agricultura,
58,Secundario,Servicios,39619.72063089358
44,Secundario,Servicios,39988.91287301354
55,Secundario,Servicios,38206.6079831032
48,Universitario,Servicios,41052.82516839649
38,Primario,Agricultura,24731.448774159016
48,Universitario,Agricultura,37592.696850666674
60,Universitario,Servicios,39069.906740925966
44,Primario,Servicios,39809.19975071809
60,Secundario,Industria,
18,Universitario,Industria,31412.912726281702
53,Primario,Industria,50528.10626833891
45,Universitario,Industria,46041.769053334225
42,Secundario,Servicios,34644.63257522904
45,Secundario,Industria,40965.78126369517
25,Universitario,Servicios,22149.497233309685
42,Secundario,Servicios,38198.600189198776
48,Secundario,Industria,39940.78891455178
59,Secundario,Servicios,43981.37679776523
39,Secundario,Industria,41546.207135671
36,Primario,Industria,44116.57110175278
39,Secundario,Industria,41391.81800204054
54,,Tecnología,60282.208854611636
48,Secundario,Servicios,42127.482817153184
39,Secundario,Servicios,36940.23211633647
50,Secundario,Servicios,41264.62382873111
45,Universitario,Servicios,39877.0703592341
54,Primario,Industria,
37,Universitario,Industria,44827.154719947925
41,Secundario,Industria,45849.87517605441
41,Secundario,Servicios,32333.26748569401
30,Primario,Servicios,31023.678105303195
47,Primario,Servicios,38642.770849489476
47,Secundario,Agricultura,
45,Secundario,Industria,46335.43986627414
42,Universitario,Servicios,42525.46712732474
30,Secundario,Servicios,36327.06691069131
40,Secundario,Agricultura,25751.123226274376
41,Secundario,Industria,45888.279961224194
36,Universitario,Industria,46715.73327814164
43,Primario,Servicios,38747.23408275681
49,Primario,Agricultura,38963.92170074387
63,Primario,Servicios,53249.08178280306
46,Universitario,Servicios,42494.83818442793
47,Secundario,Industria,
44,Secundario,Industria,48780.35389633902
25,Universitario,Servicios,30579.551332387564
44,Universitario,Servicios,37695.61217313982
45,,Tecnología,56594.34305714507
69,Universitario,Servicios,53853.65343532843
43,Secundario,Industria,40926.285336231995
48,Primario,Agricultura,
44,Secundario,Servicios,39599.45649496149
33,Primario,Agricultura,22602.775300792233
56,Secundario,Servicios,
52,Universitario,Tecnología,52399.8939693935
52,Primario,Servicios,43302.032067324144
35,Primario,Agricultura,32540.925931955964
59,Secundario,Agricultura,
30,Universitario,Servicios,32494.19078382233
50,Secundario,Servicios,47816.629735001145
66,Secundario,Agricultura,
35,Primario,Industria,36764.369651773595
39,Primario,Servicios,41526.65360985039
45,Universitario,Servicios,45850.348762123176
39,Universitario,Tecnología,
29,Primario,Agricultura,30645.852141633426
45,,Tecnología,63365.90366212353
34,Secundario,Servicios,30630.063069846463
49,Universitario,Industria,44658.77665852853
35,Secundario,Industria,45923.49805261894
60,,Industria,57740.05711483404
37,,Tecnología,57051.52344069742
41,Secundario,Servicios,32880.742585991786
53,Primario,Tecnología,69148.24444679776
32,Primario,Servicios,30676.116408752143
47,Secundario,Servicios,
58,Universitario,Servicios,44569.351337958484
28,Secundario,Servicios,37416.641682859095
46,Secundario,Servicios,
47,Universitario,Servicios,40459.46200144764
52,Primario,Servicios,42653.15412047243
32,Secundario,Industria,39974.05867457386
31,Secundario,Industria,41632.55805807403
50,Universitario,Servicios,29881.75968922279
47,Primario,Servicios,37613.570163720804
47,Secundario,Servicios,39765.287739667125
48,Universitario,Servicios,34595.94366552197
38,Universitario,Agricultura,31745.29327124624
47,Secundario,Servicios,37982.11511605552
47,Secundario,Servicios,45821.90279326196
37,,Tecnología,61092.07890085943
63,Universitario,Servicios,43336.777723527346
49,Secundario,Servicios,38996.64915373322
33,Primario,Servicios,32904.20973756643
51,Universitario,Agricultura,33593.36209536151
35,Secundario,Servicios,34780.09993611251
52,Secundario,Industria,44766.87172444964
56,Secundario,Servicios,
36,Secundario,Servicios,36890.844895601076
54,Secundario,Tecnología,
49,Secundario,Industria,43382.73696136003
53,Primario,Industria,
63,Secundario,Servicios,
42,Universitario,Industria,44812.66095215193
37,Primario,Servicios,38081.37605044982
36,Universitario,Servicios,34265.54974118515
36,Secundario,Agricultura,31218.96364856454
44,Universitario,Servicios,35534.28142444971
48,Universitario,Servicios,
47,Secundario,Servicios,37976.56227647864
53,,Tecnología,58213.68661383905
45,,Tecnología,57292.90334753687
59,Secundario,Industria,
42,Secundario,Servicios,34835.38501143158
72,Secundario,Industria,
51,Universitario,Agricultura,34375.28099001848
36,Universitario,Industria,40434.01021651689
34,Universitario,Agricultura,28352.943200559483
49,Secundario,Industria,
42,Universitario,Servicios,
52,Primario,Industria,45200.93909260693
49,Secundario,Tecnología,54787.19657844342
44,Primario,Agricultura,
36,Secundario,Servicios,32451.18831522029
29,Secundario,Tecnología,50192.31472873397
40,Secundario,Servicios,32920.015735210174
53,Secundario,Industria,43015.533343000425
47,Secundario,Servicios,36975.51669010325
32,Secundario,Servicios,33525.70648045588
46,Secundario,Servicios,40780.11786334226
48,Secundario,Servicios,36970.307787566715
36,Secundario,Industria,39748.008711426264
46,Primario,Servicios,34693.20676461076
45,Secundario,Servicios,
33,Secundario,Servicios,29806.28546323674
48,Secundario,Servicios,41492.5112529648
50,Secundario,Industria,39856.53403226355
55,,Tecnología,60561.48131019015
55,Universitario,Servicios,43204.42935676697
31,Secundario,Industria,40135.338065290016
35,Secundario,Industria,51772.13465592198
50,Primario,Servicios,41399.20009827163
50,,Tecnología,55983.78161263196
50,Secundario,Servicios,39618.14301164371
83,Secundario,Agricultura,
50,Secundario,Industria,46677.60100281295
56,Secundario,Servicios,
54,Secundario,Industria,
51,Universitario,Industria,45201.83890161786
41,Universitario,Agricultura,30932.936336819013
52,Universitario,Industria,45257.76863438239
37,Universitario,Servicios,41755.405407413324
42,Primario,Servicios,35515.02893552835
40,Primario,Industria,
45,Primario,Tecnología,61256.607048473066
68,Secundario,Agricultura,
26,Universitario,Servicios,31874.93258927008
51,Secundario,Industria,
28,Universitario,Industria,30489.30968261756
40,Primario,Industria,41884.466423396974
55,Universitario,Agricultura,
45,Secundario,Servicios,37804.411266103576
34,Primario,Servicios,27979.2406127857
37,Secundario,Industria,41590.38219769012
51,Secundario,Servicios,47216.422065021965
37,Secundario,Servicios,39787.566862138876
47,Secundario,Tecnología,58551.98396253587
45,Universitario,Agricultura,
38,Secundario,Tecnología,53733.97191852779
66,Secundario,Industria,
51,Secundario,Industria,43702.136047481785
24,Universitario,Servicios,35851.55507403279
46,Secundario,Agricultura,32304.027672682783
38,Secundario,Industria,41226.46408249993
53,Primario,Industria,47000.64721490048
37,Primario,Industria,49416.54635829203
43,Secundario,Agricultura,38703.835661448255
50,Primario,Industria,
53,Secundario,Industria,
32,Universitario,Industria,40982.49795498838
41,Primario,Industria,37333.42980231684
40,Secundario,Industria,48907.7377044731
38,Secundario,Industria,37528.88179492826
62,Universitario,Agricultura,
49,Secundario,Servicios,35210.78988946862
32,Universitario,Agricultura,25444.532693045214
54,Secundario,Servicios,38250.950275801195
66,Primario,Servicios,
55,Secundario,Agricultura,34843.50918740409
29,Universitario,Servicios,29406.924820299693
40,Secundario,Agricultura,34333.33564712123
57,Universitario,Industria,45380.54882774992
37,Universitario,Tecnología,55682.165708055465
49,Secundario,Agricultura,39471.836609222235
52,,Tecnología,58747.214541946414
35,Secundario,Servicios,31128.324437009593
44,Secundario,Servicios,36677.901499278996
12,Universitario,Agricultura,24518.90083344284
34,Universitario,Servicios,34376.43052381343
42,Secundario,Industria,41675.14282156961
